Name,Morningstar Category,YTD (Daily),1 Yr,3 Yr,5 Yr,10 Yr,Life of Fund,Expense Ratio - Net,Expense Ratio - Gross,Morningstar- Overall,Morningstar- 3yrs,Morningstar- 5yrs,Morningstar- 10yrs,Morningstar Category Risk,Standard Deviation,3 Year Sharpe Ratio,Beta,R2,Manager Tenure,Inception Date,Assets (Millions),Turnover Rates,Minimum Investment,Load (Y/N),Expense Ratio - Net,Expense Ratio - Gross,NTF,1-year Rank,3-year Rank,5-year Rank,10-year Rank,Average Maturity,Average Duration,Minimum Investment,7-Day Yield,30-Day Yield,Last Dividend,YTD (Daily),1 Month,3 Month,YTD,NAV ($),NAV Change ($),NAV Change (%),30-Day Yield (%),7-Day Yield (%),Minimum Investment,Last Dividend
First Eagle Fund of America Class I (FEAIX),Large Blend,15.56%,35.35% (6/30/2021),7.17% (6/30/2021),9.23% (6/30/2021),8.44% (6/30/2021),11.00% (6/30/2021),0.66%,0.68%,1 (1257 Rated),1 (1257 Rated),1 (1099 Rated),1 (820 Rated),6,21.89 (06/30/2021),0.27 (06/30/2021),1.10 (06/30/2021),0.86 (06/30/2021),1 year,04/10/1987,$573.97,97.86% (10/31/2020),"$1,000,000.00",N,0.66%,0.68%,N,  83% (1386 Funds),  99% (1257 Funds),  99% (1099 Funds),  98% (820 Funds),-,-,"$1,000,000",-,-,$0.038 (07/01/2021),15.56% (7/15/2021),1.46% (6/30/2021),8.76% (6/30/2021),13.81% (6/30/2021),$30.26,-$0.27,-0.88%,-,-,"$1,000,000.00",$0.038 (07/01/2021)
FMI Common Stock Fund Institutional Class (FMIUX),Mid-Cap Blend,18.36%,52.40% (6/30/2021),12.96% (6/30/2021),13.37% (6/30/2021),10.77% (6/30/2021),11.99% (6/30/2021),0.90%,0.90%,3 (357 Rated),3 (357 Rated),3 (290 Rated),3 (202 Rated),6,21.73 (06/30/2021),0.54 (06/30/2021),0.79 (06/30/2021),0.87 (06/30/2021),24 years,12/18/1981,$955.31,32% (09/30/2020),"$100,000.00",N,0.90%,0.90%,N,  39% (389 Funds),  50% (357 Funds),  58% (290 Funds),  68% (202 Funds),-,-,"$100,000",-,-,$0.23387644 (12/18/2020),18.36% (7/15/2021),-2.87% (6/30/2021),6.70% (6/30/2021),20.03% (6/30/2021),$32.68,-$0.15,-0.46%,-,-,"$100,000.00",$0.23387644 (12/18/2020)
FMI Common Stock Fund Investor Class (FMIMX),Mid-Cap Blend,18.31%,52.25% (6/30/2021),12.83% (6/30/2021),13.26% (6/30/2021),10.72% (6/30/2021),11.98% (6/30/2021),1.02%,1.02%,3 (357 Rated),3 (357 Rated),3 (290 Rated),3 (202 Rated),6,21.72 (06/30/2021),0.53 (06/30/2021),0.79 (06/30/2021),0.87 (06/30/2021),24 years,12/18/1981,$955.31,32% (09/30/2020),"$2,500.00",N,1.02%,1.02%,Y,  41% (389 Funds),  55% (357 Funds),  60% (290 Funds),  68% (202 Funds),-,-,"$2,500",-,-,$0.21025318 (12/18/2020),18.31% (7/15/2021),-2.90% (6/30/2021),6.64% (6/30/2021),19.98% (6/30/2021),$32.63,-$0.15,-0.46%,-,-,"$2,500.00",$0.21025318 (12/18/2020)
FMI Large Cap Fund Institutional Class (FMIQX),Large Blend,10.48%,37.87% (6/30/2021),12.46% (6/30/2021),13.38% (6/30/2021),11.93% (6/30/2021),9.68% (6/30/2021),0.67%,0.67%,2 (1257 Rated),2 (1257 Rated),2 (1099 Rated),2 (820 Rated),6,17.72 (06/30/2021),0.63 (06/30/2021),0.91 (06/30/2021),0.91 (06/30/2021),20 years,12/31/2001,"$3,431.73",28% (09/30/2020),"$100,000.00",N,0.67%,0.67%,N,  75% (1386 Funds),  93% (1257 Funds),  89% (1099 Funds),  83% (820 Funds),-,-,"$100,000",-,-,$0.33423844 (12/18/2020),10.48% (7/15/2021),-1.42% (6/30/2021),4.12% (6/30/2021),10.48% (6/30/2021),$21.50,-$0.05,-0.23%,-,-,"$100,000.00",$0.33423844 (12/18/2020)
FMI Large Cap Fund Investor Class (FMIHX),Large Blend,10.41%,37.67% (6/30/2021),12.31% (6/30/2021),13.25% (6/30/2021),11.86% (6/30/2021),9.64% (6/30/2021),0.81%,0.81%,2 (1257 Rated),2 (1257 Rated),2 (1099 Rated),2 (820 Rated),6,17.71 (06/30/2021),0.62 (06/30/2021),0.91 (06/30/2021),0.91 (06/30/2021),20 years,12/31/2001,"$3,431.73",28% (09/30/2020),"$2,500.00",N,0.81%,0.81%,Y,  76% (1386 Funds),  94% (1257 Funds),  90% (1099 Funds),  85% (820 Funds),-,-,"$2,500",-,-,$0.30347864 (12/18/2020),10.41% (7/15/2021),-1.42% (6/30/2021),4.11% (6/30/2021),10.41% (6/30/2021),$21.53,-$0.04,-0.19%,-,-,"$2,500.00",$0.30347864 (12/18/2020)
F/m Investments Large Cap Focused Fund Institutional Class (IAFLX),Large Growth,12.78%,43.00% (6/30/2021),24.75% (6/30/2021),-,-,23.91% (6/30/2021),0.90%,1.25%,4 (1138 Rated),4 (1138 Rated),-,-,6,19.92 (06/30/2021),1.18 (06/30/2021),0.98 (06/30/2021),0.83 (06/30/2021),5 years,10/03/2016,$89.40,139% (06/30/2020),"$100,000.00",N,0.90%,1.25%,N,  32% (1239 Funds),  26% (1138 Funds),-,-,-,-,"$100,000",-,-,$0.083249 (12/17/2019),12.78% (7/15/2021),5.90% (6/30/2021),11.67% (6/30/2021),14.20% (6/30/2021),$19.85,-$0.23,-1.15%,-,-,"$100,000.00",$0.083249 (12/17/2019)
F/m Investments Large Cap Focused Fund Investor Class (IAFMX),Large Growth,12.63%,42.64% (6/30/2021),24.47% (6/30/2021),-,-,23.62% (6/30/2021),1.15%,1.50%,4 (1138 Rated),4 (1138 Rated),-,-,6,19.92 (06/30/2021),1.16 (06/30/2021),0.98 (06/30/2021),0.83 (06/30/2021),5 years,10/03/2016,$89.40,139% (06/30/2020),"$2,500.00",N,1.15%,1.50%,Y,  35% (1239 Funds),  29% (1138 Funds),-,-,-,-,"$2,500",-,-,$0.049476 (12/17/2019),12.63% (7/15/2021),5.89% (6/30/2021),11.57% (6/30/2021),14.06% (6/30/2021),$19.71,-$0.22,-1.10%,-,-,"$2,500.00",$0.049476 (12/17/2019)
FormulaFolios US Equity Fund Institutional Class (FFILX),Large Value,17.62%,31.67% (6/30/2021),3.51% (6/30/2021),5.47% (6/30/2021),-,5.67% (6/30/2021),1.16%,1.24%,1 (1141 Rated),1 (1141 Rated),1 (1012 Rated),-,6,17.40 (06/30/2021),0.13 (06/30/2021),0.84 (06/30/2021),0.79 (06/30/2021),6 years,12/17/2015,$156.24,488% (11/30/2020),"$50,000.00",N,1.16%,1.24%,N,  90% (1210 Funds),  99% (1141 Funds),  99% (1012 Funds),-,-,-,"$50,000",-,-,$0.0315 (12/21/2020),17.62% (7/15/2021),0.18% (6/30/2021),5.33% (6/30/2021),17.41% (6/30/2021),$11.28,$0.01,0.09%,-,-,"$50,000.00",$0.0315 (12/21/2020)
FormulaFolios US Equity Fund Investor Class (FFIOX),Large Value,17.01%,30.35% (6/30/2021),2.44% (6/30/2021),4.33% (6/30/2021),-,4.65% (6/30/2021),2.16%,2.24%,1 (1141 Rated),1 (1141 Rated),1 (1012 Rated),-,6,17.40 (06/30/2021),0.06 (06/30/2021),0.84 (06/30/2021),0.79 (06/30/2021),6 years,12/17/2015,$156.24,488% (11/30/2020),"$2,500.00",N,2.16%,2.24%,Y,  92% (1210 Funds), 100% (1141 Funds), 100% (1012 Funds),-,-,-,"$2,500",-,-,$0.0023 (10/12/2018),17.01% (7/15/2021),0.00% (6/30/2021),5.07% (6/30/2021),16.79% (6/30/2021),$10.80,$0.00,0.00%,-,-,"$2,500.00",$0.0023 (10/12/2018)
Fort Pitt Capital Total Return Fund (FPCGX),Large Blend,11.43%,37.90% (6/30/2021),13.35% (6/30/2021),15.20% (6/30/2021),12.13% (6/30/2021),9.24% (6/30/2021),1.01%,1.15%,2 (1257 Rated),2 (1257 Rated),2 (1099 Rated),2 (820 Rated),6,19.61 (06/30/2021),0.61 (06/30/2021),1.01 (06/30/2021),0.91 (06/30/2021),20 years,12/31/2001,$85.20,8% (10/31/2020),"$2,500.00",N,1.01%,1.15%,Y,  75% (1386 Funds),  90% (1257 Funds),  73% (1099 Funds),  81% (820 Funds),-,-,"$2,500",-,-,$0.25691221 (12/17/2020),11.43% (7/15/2021),0.99% (6/30/2021),4.91% (6/30/2021),11.46% (6/30/2021),$32.66,-$0.06,-0.18%,-,-,"$2,500.00",$0.25691221 (12/17/2020)
Foundry Partners Fundamental Small Cap Value Fund Institutional Class (DRISX),Small Value,20.76%,62.63% (6/30/2021),7.51% (6/30/2021),10.30% (6/30/2021),9.37% (6/30/2021),10.06% (6/30/2021),1.08%,1.08%,3 (409 Rated),3 (409 Rated),2 (383 Rated),3 (285 Rated),7,27.45 (06/30/2021),0.23 (06/30/2021),1.01 (06/30/2021),0.97 (06/30/2021),15 years,12/31/2003,$281.03,60.56% (10/31/2020),"$100,000.00",N,1.08%,1.08%,N,  71% (433 Funds),  71% (409 Funds),  75% (383 Funds),  68% (285 Funds),-,-,"$100,000",-,-,$0.210608 (12/28/2020),20.76% (7/15/2021),-4.23% (6/30/2021),2.54% (6/30/2021),24.47% (6/30/2021),$25.07,-$0.08,-0.32%,-,-,"$100,000.00",$0.210608 (12/28/2020)
Foundry Partners Fundamental Small Cap Value Fund Investor Class (DRSVX),Small Value,20.64%,62.19% (6/30/2021),7.23% (6/30/2021),10.02% (6/30/2021),9.12% (6/30/2021),9.89% (6/30/2021),1.33%,1.33%,3 (409 Rated),3 (409 Rated),2 (383 Rated),3 (285 Rated),7,27.42 (06/30/2021),0.22 (06/30/2021),1.00 (06/30/2021),0.97 (06/30/2021),15 years,12/31/2003,$281.03,60.56% (10/31/2020),"$2,500.00",N,1.33%,1.33%,Y,  72% (433 Funds),  73% (409 Funds),  79% (383 Funds),  72% (285 Funds),-,-,"$2,500",-,-,$0.159705 (12/28/2020),20.64% (7/15/2021),-4.24% (6/30/2021),2.47% (6/30/2021),24.31% (6/30/2021),$24.96,-$0.08,-0.32%,-,-,"$2,500.00",$0.159705 (12/28/2020)
FPA Queens Road Small Cap Value Fund (QRSVX),Small Value,13.85%,48.63% (6/30/2021),13.74% (6/30/2021),11.63% (6/30/2021),9.44% (6/30/2021),10.06% (6/30/2021),1.04%,1.16%,4 (409 Rated),5 (409 Rated),4 (383 Rated),4 (285 Rated),7,18.74 (06/30/2021),0.66 (06/30/2021),0.67 (06/30/2021),0.91 (06/30/2021),19 years,06/13/2002,$493.32,24% (05/31/2020),"$2,500.00",N,1.04%,1.16%,Y,  94% (433 Funds),  12% (409 Funds),  60% (383 Funds),  66% (285 Funds),-,-,"$2,500",-,-,$0.0931 (12/09/2020),13.85% (7/15/2021),-0.84% (6/30/2021),2.56% (6/30/2021),16.16% (6/30/2021),$34.52,-$0.09,-0.26%,-,-,"$2,500.00",$0.0931 (12/09/2020)
FPA Queens Road Small Cap Value Fund Advisor Class (QRSAX),Small Value,13.85%,48.63% (6/30/2021),13.74% (6/30/2021),11.63% (6/30/2021),9.44% (6/30/2021),10.06% (6/30/2021),0.99%,1.11%,4 (409 Rated),5 (409 Rated),4 (383 Rated),4 (285 Rated),7,18.73 (06/30/2021),0.66 (06/30/2021),0.67 (06/30/2021),0.91 (06/30/2021),19 years,06/13/2002,$493.32,24% (05/31/2020),"$50,000.00",N,0.99%,1.11%,N,  94% (433 Funds),  12% (409 Funds),  60% (383 Funds),  66% (285 Funds),-,-,"$50,000",-,-,$0.0934 (12/09/2020),13.85% (7/15/2021),-0.84% (6/30/2021),2.59% (6/30/2021),16.16% (6/30/2021),$34.52,-$0.10,-0.29%,-,-,"$50,000.00",$0.0934 (12/09/2020)
FPA Queens Road Small Cap Value Fund Institutional Class (QRSIX),Small Value,13.89%,48.68% (6/30/2021),13.75% (6/30/2021),11.64% (6/30/2021),9.44% (6/30/2021),10.06% (6/30/2021),0.89%,1.06%,4 (409 Rated),5 (409 Rated),4 (383 Rated),4 (285 Rated),7,18.73 (06/30/2021),0.66 (06/30/2021),0.67 (06/30/2021),0.91 (06/30/2021),19 years,06/13/2002,$493.32,24% (05/31/2020),"$100,000.00",N,0.89%,1.06%,N,  94% (433 Funds),  12% (409 Funds),  59% (383 Funds),  65% (285 Funds),-,-,"$100,000",-,-,$0.0941 (12/09/2020),13.89% (7/15/2021),-0.82% (6/30/2021),2.59% (6/30/2021),16.19% (6/30/2021),$34.53,-$0.10,-0.29%,-,-,"$100,000.00",$0.0941 (12/09/2020)
FPA Queens Road Value Fund (QRVLX),Large Value,19.07%,39.13% (6/30/2021),14.29% (6/30/2021),13.47% (6/30/2021),11.61% (6/30/2021),8.91% (6/30/2021),0.65%,1.91%,4 (1141 Rated),4 (1141 Rated),4 (1012 Rated),4 (740 Rated),6,18.00 (06/30/2021),0.72 (06/30/2021),0.60 (06/30/2021),0.81 (06/30/2021),17 years,06/13/2002,$41.10,1% (05/31/2020),"$100,000.00",N,0.65%,1.91%,Y,  65% (1210 Funds),  21% (1141 Funds),  26% (1012 Funds),  35% (740 Funds),-,-,"$100,000",-,-,$0.4788 (12/09/2020),19.07% (7/15/2021),-0.48% (6/30/2021),5.75% (6/30/2021),16.70% (6/30/2021),$29.66,$0.02,0.07%,-,-,"$100,000.00",$0.4788 (12/09/2020)
FPA U.S. Core Equity Fund (FPPFX),Large Growth,16.68%,38.67% (6/30/2021),19.29% (6/30/2021),14.42% (6/30/2021),10.88% (6/30/2021),11.78% (6/30/2021),1.22%,1.34%,1 (1138 Rated),2 (1138 Rated),1 (1024 Rated),1 (761 Rated),6,19.89 (06/30/2021),0.90 (06/30/2021),1.04 (06/30/2021),0.93 (06/30/2021),6 years,04/02/1984,$78.92,60% (12/31/2020),"$2,500.00",N,1.22%,1.34%,N,  67% (1239 Funds),  79% (1138 Funds),  98% (1024 Funds),  99% (761 Funds),-,-,"$2,500",-,-,$0.01036 (12/18/2019),16.68% (7/15/2021),5.59% (6/30/2021),12.46% (6/30/2021),13.90% (6/30/2021),$15.91,-$0.08,-0.50%,-,-,"$2,500.00",$0.01036 (12/18/2019)
Franklin DynaTech Fund Class A (FKDNX),Large Growth,10.11%,43.07% (6/30/2021),28.86% (6/30/2021),29.00% (6/30/2021),19.32% (6/30/2021),10.53% (6/30/2021),0.85%,0.86%,5 (1138 Rated),5 (1138 Rated),5 (1024 Rated),5 (761 Rated),6,21.30 (06/30/2021),1.29 (06/30/2021),1.01 (06/30/2021),0.88 (06/30/2021),54 years,01/02/1968,"$26,711.26",13.82% (09/30/2020),"$1,000.00",Y,0.85%,0.86%,Y,  32% (1239 Funds),   7% (1138 Funds),   5% (1024 Funds),   8% (761 Funds),-,-,"$1,000",-,-,$   0.00 (12/01/2015),10.11% (7/15/2021),8.78% (6/30/2021),12.92% (6/30/2021),10.41% (6/30/2021),$153.88,-$1.46,-0.94%,-,-,"$1,000.00",$   0.00 (12/01/2015)
Franklin DynaTech Fund Class C (FDYNX),Large Growth,9.66%,42.00% (6/30/2021),27.90% (6/30/2021),28.04% (6/30/2021),18.43% (6/30/2021),9.69% (6/30/2021),1.60%,1.61%,5 (1138 Rated),5 (1138 Rated),5 (1024 Rated),4 (761 Rated),6,21.30 (06/30/2021),1.25 (06/30/2021),1.01 (06/30/2021),0.88 (06/30/2021),54 years,01/02/1968,"$26,711.26",13.82% (09/30/2020),"$1,000.00",N,1.60%,1.61%,N,  41% (1239 Funds),   9% (1138 Funds),   6% (1024 Funds),  13% (761 Funds),-,-,"$1,000",-,-,$   0.00 (12/01/2015),9.66% (7/15/2021),8.71% (6/30/2021),12.70% (6/30/2021),9.99% (6/30/2021),$125.53,-$1.19,-0.94%,-,-,"$1,000.00",$   0.00 (12/01/2015)
Franklin Equity Income Fund Class A (FISEX),Large Value,15.06%,35.94% (6/30/2021),12.94% (6/30/2021),12.27% (6/30/2021),10.93% (6/30/2021),9.07% (6/30/2021),0.85%,0.86%,4 (1141 Rated),4 (1141 Rated),4 (1012 Rated),3 (740 Rated),6,17.37 (06/30/2021),0.67 (06/30/2021),0.86 (06/30/2021),0.98 (06/30/2021),16 years,03/15/1988,"$3,359.81",26.9% (10/31/2020),"$1,000.00",Y,0.85%,0.86%,Y,  77% (1210 Funds),  36% (1141 Funds),  48% (1012 Funds),  55% (740 Funds),-,-,"$1,000",-,1.30% (06/30/2021),$0.14 (06/15/2021),15.06% (7/15/2021),-0.52% (6/30/2021),6.16% (6/30/2021),13.58% (6/30/2021),$31.10,$0.02,0.06%,-,-,"$1,000.00",$0.14 (06/15/2021)
Franklin Equity Income Fund Class C (FRETX),Large Value,14.57%,34.95% (6/30/2021),12.08% (6/30/2021),11.42% (6/30/2021),10.09% (6/30/2021),8.26% (6/30/2021),1.60%,1.61%,3 (1141 Rated),4 (1141 Rated),3 (1012 Rated),3 (740 Rated),6,17.38 (06/30/2021),0.62 (06/30/2021),0.86 (06/30/2021),0.98 (06/30/2021),16 years,03/15/1988,"$3,359.81",26.9% (10/31/2020),"$1,000.00",N,1.60%,1.61%,N,  82% (1210 Funds),  49% (1141 Funds),  65% (1012 Funds),  78% (740 Funds),-,-,"$1,000",-,0.63% (06/30/2021),$0.0837 (06/15/2021),14.57% (7/15/2021),-0.57% (6/30/2021),5.98% (6/30/2021),13.16% (6/30/2021),$30.85,$0.01,0.03%,-,-,"$1,000.00",$0.0837 (06/15/2021)
Franklin Focused Growth Fund Class A (FFQBX),Large Growth,13.66%,44.38% (6/30/2021),28.23% (6/30/2021),26.94% (6/30/2021),-,26.15% (6/30/2021),1.12%,1.95%,5 (1138 Rated),5 (1138 Rated),5 (1024 Rated),-,6,-,-,-,-,5 years,04/12/2016,$96.63,33.93% (09/30/2020),"$1,000.00",Y,1.12%,1.95%,Y,  23% (1239 Funds),   8% (1138 Funds),  10% (1024 Funds),-,-,-,"$1,000",-,-,-,13.66% (7/15/2021),8.50% (6/30/2021),14.81% (6/30/2021),13.12% (6/30/2021),$31.54,-$0.28,-0.88%,-,-,"$1,000.00",-
Franklin Focused Growth Fund Class C (FFQCX),Large Growth,13.12%,43.29% (6/30/2021),27.30% (6/30/2021),26.01% (6/30/2021),-,25.23% (6/30/2021),1.87%,2.70%,4 (1138 Rated),5 (1138 Rated),4 (1024 Rated),-,6,-,-,-,-,5 years,04/12/2016,$96.63,33.93% (09/30/2020),"$1,000.00",N,1.87%,2.70%,N,  30% (1239 Funds),  11% (1138 Funds),  13% (1024 Funds),-,-,-,"$1,000",-,-,-,13.12% (7/15/2021),8.44% (6/30/2021),14.64% (6/30/2021),12.65% (6/30/2021),$31.21,-$0.28,-0.89%,-,-,"$1,000.00",-
Franklin Growth Opportunities Fund Class A (FGRAX),Large Growth,13.53%,41.77% (6/30/2021),24.73% (6/30/2021),23.67% (6/30/2021),15.91% (6/30/2021),11.31% (6/30/2021),0.95%,0.95%,4 (1138 Rated),4 (1138 Rated),4 (1024 Rated),3 (761 Rated),6,21.18 (06/30/2021),1.11 (06/30/2021),1.03 (06/30/2021),0.95 (06/30/2021),14 years,06/23/1999,"$6,109.64",17.54% (04/30/2021),"$1,000.00",Y,0.95%,0.95%,Y,  42% (1239 Funds),  27% (1138 Funds),  28% (1024 Funds),  53% (761 Funds),-,-,"$1,000",-,-,-,13.53% (7/15/2021),9.48% (6/30/2021),16.01% (6/30/2021),13.20% (6/30/2021),$60.82,-$0.50,-0.82%,-,-,"$1,000.00",-
Franklin Growth Opportunities Fund Class C (FKACX),Large Growth,13.09%,40.74% (6/30/2021),23.83% (6/30/2021),22.76% (6/30/2021),15.07% (6/30/2021),10.53% (6/30/2021),1.70%,1.70%,3 (1138 Rated),3 (1138 Rated),3 (1024 Rated),2 (761 Rated),6,21.17 (06/30/2021),1.06 (06/30/2021),1.03 (06/30/2021),0.95 (06/30/2021),14 years,06/23/1999,"$6,109.64",17.54% (04/30/2021),"$1,000.00",N,1.70%,1.70%,N,  51% (1239 Funds),  33% (1138 Funds),  40% (1024 Funds),  66% (761 Funds),-,-,"$1,000",-,-,-,13.09% (7/15/2021),9.40% (6/30/2021),15.81% (6/30/2021),12.80% (6/30/2021),$47.36,-$0.39,-0.82%,-,-,"$1,000.00",-
Franklin Growth Series Class A (FKGRX),Large Growth,13.08%,40.31% (6/30/2021),21.18% (6/30/2021),20.35% (6/30/2021),15.39% (6/30/2021),10.77% (6/30/2021),0.82%,0.83%,3 (1138 Rated),3 (1138 Rated),3 (1024 Rated),3 (761 Rated),6,18.92 (06/30/2021),1.05 (06/30/2021),1.00 (06/30/2021),0.96 (06/30/2021),13 years,04/01/1948,"$21,839.56",9.01% (09/30/2020),"$1,000.00",Y,0.82%,0.83%,Y,  54% (1239 Funds),  60% (1138 Funds),  64% (1024 Funds),  61% (761 Funds),-,-,"$1,000",-,-,$0.1833 (12/01/2020),13.08% (7/15/2021),4.63% (6/30/2021),9.41% (6/30/2021),11.53% (6/30/2021),$153.14,-$0.91,-0.59%,-,-,"$1,000.00",$0.1833 (12/01/2020)
Franklin Growth Series Class C (FRGSX),Large Growth,12.62%,39.27% (6/30/2021),20.29% (6/30/2021),19.46% (6/30/2021),14.53% (6/30/2021),9.95% (6/30/2021),1.57%,1.58%,2 (1138 Rated),3 (1138 Rated),2 (1024 Rated),2 (761 Rated),6,18.91 (06/30/2021),1.00 (06/30/2021),1.00 (06/30/2021),0.96 (06/30/2021),13 years,04/01/1948,"$21,839.56",9.01% (09/30/2020),"$1,000.00",N,1.57%,1.58%,N,  63% (1239 Funds),  70% (1138 Funds),  73% (1024 Funds),  74% (761 Funds),-,-,"$1,000",-,-,$   0.00 (12/01/2015),12.62% (7/15/2021),4.57% (6/30/2021),9.21% (6/30/2021),11.11% (6/30/2021),$136.41,-$0.81,-0.59%,-,-,"$1,000.00",$   0.00 (12/01/2015)
Franklin MicroCap Value Fund Class A (FRMCX),Small Value,24.22%,71.31% (6/30/2021),8.45% (6/30/2021),10.91% (6/30/2021),9.35% (6/30/2021),10.89% (6/30/2021),1.28%,1.29%,3 (409 Rated),3 (409 Rated),3 (383 Rated),3 (285 Rated),7,25.71 (06/30/2021),0.28 (06/30/2021),0.93 (06/30/2021),0.95 (06/30/2021),2 years,12/12/1995,$230.65,31.04% (10/31/2020),"$1,000.00",Y,1.28%,1.29%,Y,  47% (433 Funds),  57% (409 Funds),  68% (383 Funds),  69% (285 Funds),-,-,"$1,000",-,-,$0.1069 (12/15/2020),24.22% (7/15/2021),-1.39% (6/30/2021),3.39% (6/30/2021),27.22% (6/30/2021),$31.90,$0.04,0.13%,-,-,"$1,000.00",$0.1069 (12/15/2020)
Franklin Mutual U.S. Value Fund Class A (FRBSX),Mid-Cap Value,20.97%,55.82% (6/30/2021),8.97% (6/30/2021),11.56% (6/30/2021),8.65% (6/30/2021),10.14% (6/30/2021),0.96%,0.98%,2 (395 Rated),2 (395 Rated),3 (346 Rated),2 (246 Rated),6,24.21 (06/30/2021),0.32 (06/30/2021),1.17 (06/30/2021),0.97 (06/30/2021),9 years,04/02/1990,$891.55,57.78% (10/31/2020),"$1,000.00",Y,0.96%,0.98%,Y,  44% (414 Funds),  78% (395 Funds),  58% (346 Funds),  94% (246 Funds),-,-,"$1,000",-,-,$1.1865 (12/15/2020),20.97% (7/15/2021),-2.01% (6/30/2021),5.74% (6/30/2021),21.97% (6/30/2021),$38.71,-$0.19,-0.49%,-,-,"$1,000.00",$1.1865 (12/15/2020)
Franklin Mutual U.S. Value Fund Class C (FCBSX),Mid-Cap Value,20.48%,54.70% (6/30/2021),8.16% (6/30/2021),10.73% (6/30/2021),7.84% (6/30/2021),9.32% (6/30/2021),1.71%,1.73%,2 (395 Rated),2 (395 Rated),2 (346 Rated),1 (246 Rated),6,24.21 (06/30/2021),0.28 (06/30/2021),1.17 (06/30/2021),0.97 (06/30/2021),9 years,04/02/1990,$891.55,57.78% (10/31/2020),"$1,000.00",N,1.71%,1.73%,N,  49% (414 Funds),  86% (395 Funds),  71% (346 Funds),  99% (246 Funds),-,-,"$1,000",-,-,$0.9325 (12/15/2020),20.48% (7/15/2021),-2.06% (6/30/2021),5.54% (6/30/2021),21.53% (6/30/2021),$36.82,-$0.18,-0.49%,-,-,"$1,000.00",$0.9325 (12/15/2020)
Franklin Rising Dividends Fund Class A (FRDPX),Large Blend,14.97%,37.57% (6/30/2021),17.02% (6/30/2021),15.26% (6/30/2021),12.83% (6/30/2021),10.02% (6/30/2021),0.87%,0.87%,3 (1257 Rated),3 (1257 Rated),2 (1099 Rated),3 (820 Rated),6,18.58 (06/30/2021),0.85 (06/30/2021),0.98 (06/30/2021),0.96 (06/30/2021),7 years,01/14/1987,"$26,699.96",9.11% (09/30/2020),"$1,000.00",Y,0.87%,0.87%,Y,  76% (1386 Funds),  55% (1257 Funds),  73% (1099 Funds),  69% (820 Funds),-,-,"$1,000",-,-,$0.1472 (07/01/2021),14.97% (7/15/2021),1.17% (6/30/2021),8.23% (6/30/2021),12.66% (6/30/2021),$91.87,-$0.09,-0.10%,-,-,"$1,000.00",$0.1472 (07/01/2021)
Franklin Rising Dividends Fund Class C (FRDTX),Large Blend,14.51%,36.55% (6/30/2021),16.14% (6/30/2021),14.40% (6/30/2021),11.99% (6/30/2021),9.26% (6/30/2021),1.62%,1.62%,2 (1257 Rated),3 (1257 Rated),2 (1099 Rated),2 (820 Rated),6,18.57 (06/30/2021),0.80 (06/30/2021),0.98 (06/30/2021),0.96 (06/30/2021),7 years,01/14/1987,"$26,699.96",9.11% (09/30/2020),"$1,000.00",N,1.62%,1.62%,N,  79% (1386 Funds),  66% (1257 Funds),  83% (1099 Funds),  83% (820 Funds),-,-,"$1,000",-,-,$0.0094 (04/01/2021),14.51% (7/15/2021),1.10% (6/30/2021),8.04% (6/30/2021),12.25% (6/30/2021),$90.10,-$0.09,-0.10%,-,-,"$1,000.00",$0.0094 (04/01/2021)
Franklin Small Cap Growth Fund Class A (FSGRX),Small Growth,5.12%,48.11% (6/30/2021),21.52% (6/30/2021),22.15% (6/30/2021),14.88% (6/30/2021),9.71% (6/30/2021),1.07%,1.08%,3 (576 Rated),3 (576 Rated),3 (505 Rated),3 (379 Rated),7,26.43 (06/30/2021),0.76 (06/30/2021),1.00 (06/30/2021),0.94 (06/30/2021),21 years,05/01/2000,"$4,336.27",47.8% (04/30/2021),"$1,000.00",Y,1.07%,1.08%,N,  71% (612 Funds),  32% (576 Funds),  36% (505 Funds),  30% (379 Funds),-,-,"$1,000",-,-,-,5.12% (7/15/2021),3.38% (6/30/2021),4.64% (6/30/2021),10.52% (6/30/2021),$28.77,-$0.34,-1.17%,-,-,"$1,000.00",-
Franklin Small Cap Growth Fund Class C (FCSGX),Small Growth,4.71%,46.99% (6/30/2021),20.66% (6/30/2021),21.25% (6/30/2021),14.05% (6/30/2021),8.92% (6/30/2021),1.82%,1.83%,3 (576 Rated),3 (576 Rated),3 (505 Rated),3 (379 Rated),7,26.43 (06/30/2021),0.73 (06/30/2021),1.00 (06/30/2021),0.94 (06/30/2021),21 years,05/01/2000,"$4,336.27",47.8% (04/30/2021),"$1,000.00",N,1.82%,1.83%,N,  75% (612 Funds),  38% (576 Funds),  42% (505 Funds),  46% (379 Funds),-,-,"$1,000",-,-,-,4.71% (7/15/2021),3.28% (6/30/2021),4.42% (6/30/2021),10.11% (6/30/2021),$21.55,-$0.25,-1.15%,-,-,"$1,000.00",-
